dept,number,prof,year,semester,section,A,B,C,D,F,I,S,U,Q,X,gpa
CSCE,206,SONG D,2012,FALL,1515,21,52,27,6,5,0,0,0,7,0,2.703
CSCE,206,TAYLOR B,2021,FALL,1506,37,12,5,3,3,0,0,0,4,0,3.283
CSCE,206,YUM K,2012,SPRING,2515,15,40,28,6,10,0,0,0,2,0,2.444
CSCE,206,YUM K,2017,FALL,2010,48,59,25,3,3,0,0,0,6,0,3.058
CSCE,206,YUM K,2017,SPRING,503,12,17,4,0,1,0,0,0,1,0,3.147
CSCE,206,YUM K,2018,FALL,2010,45,73,22,2,2,0,0,0,7,0,3.09
CSCE,206,YUM K,2018,SPRING,1003,25,37,12,6,1,0,0,0,2,0,2.975
CSCE,206,YUM K,2018,SUMMER,200,8,9,1,0,0,0,0,0,0,0,3.389
CSCE,206,YUM K,2019,FALL,2012,17,48,21,3,4,0,0,0,1,0,2.763
CSCE,206,YUM K,2019,SPRING,1003,22,41,21,4,5,0,0,0,4,0,2.763
CSCE,206,YUM K,2020,FALL,502,14,22,19,5,1,0,0,0,0,0,2.705
CSCE,206,YUM K,2020,SPRING,1003,19,22,14,2,1,0,0,0,0,0,2.966
CSCE,206,YUM K,2021,SPRING,1003,14,30,10,2,2,0,0,0,10,0,2.897
CSCE,206,YUM K,2022,SPRING,2006,5,17,12,0,4,0,0,0,4,0,2.5
CSCE,221,AMATO N,2012,SPRING,200,19,0,0,0,0,0,0,0,0,0,4.0
CSCE,221,AMATO N,2013,SPRING,200,14,1,1,0,0,0,0,0,1,0,3.812
CSCE,221,AMATO N,2014,SPRING,200,18,1,0,0,0,0,0,0,0,0,3.947
CSCE,221,AMATO N,2016,SPRING,200,22,4,1,0,0,0,0,0,0,0,3.778
CSCE,221,BADAVATH A,2024,SPRING,2570,34,23,3,1,0,0,0,0,5,0,3.475
CSCE,221,CHAWLA H,2022,SPRING,2074,37,36,3,0,0,0,0,0,3,0,3.447
CSCE,221,DENNY J,2015,FALL,1524,23,23,8,2,2,0,0,0,6,0,3.086
CSCE,221,DUYSAK A,2023,SPRING,551,8,2,0,0,0,0,0,0,0,0,3.8
CSCE,221,GHOSH M,2016,SPRING,1542,20,20,6,1,2,0,0,0,2,0,3.122
CSCE,221,GOKTAS U,2023,FALL,550,2,2,1,0,0,0,0,0,1,0,3.2
CSCE,221,GOKTAS U,2024,SPRING,551,6,6,3,0,0,0,0,0,0,0,3.2
CSCE,221,HOUNGNINOU D,2022,SPRING,1533,37,31,12,0,2,0,0,0,12,0,3.232
CSCE,221,HUANG Q,2023,SPRING,4108,121,60,8,1,0,0,0,0,1,0,3.584
CSCE,221,KUHNLE A,2024,SPRING,200,9,13,2,0,0,0,0,0,0,0,3.292
CSCE,221,LEYK T,2012,FALL,3021,52,34,21,8,2,2,0,0,9,0,3.077
